Work Program Group,Work Program,Unit,Fiscal Year,"Bank Budget (BB) (US$, Millions)","All Funds (US$, Millions)",External Budget,Percentage of External Budget,Funding Source Evaluation,Work Program Group Abbreviation,Work Program Abbreviation
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2020,55.3,55.8,0.5,0.9041591320072333,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2020,10.7,14.0,3.3000000000000007,30.841121495327112,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2020,34.7,87.2,52.5,151.29682997118155,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2020,47.0,56.4,9.399999999999999,20.0,Ideal,IGAS,IS
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2020,30.0,30.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2020,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2020,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2020,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2020,5.0,5.0,0.0,0.0,Ideal,OGMF,OGMF
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2020,84.0,94.6,10.599999999999994,12.619047619047613,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2020,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2020,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2020,43.6,98.7,55.1,126.37614678899082,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2020,37.1,52.3,15.199999999999996,40.970350404312654,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2020,75.1,78.3,3.200000000000003,4.260985352862854,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2020,82.5,124.1,41.599999999999994,50.424242424242415,Not Ideal,PPM,PGPPM
Program and Practice Management,Regions Program & Practice Management,Africa,2020,128.6,135.8,7.200000000000017,5.598755832037339,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2020,61.7,65.1,3.3999999999999915,5.510534846029159,Ideal,PPM,RPPM
